Datetime,Open,High,Low,Close,Volume
2025-05-15 21:30:00+08:00,41777.98046875,41977.640625,41777.98046875,41920.16015625,0.0
2025-05-15 22:30:00+08:00,41921.01171875,42181.87109375,41881.01953125,42130.23828125,105792576.0
2025-05-15 23:30:00+08:00,42132.75,42242.83984375,42122.3203125,42168.640625,78415456.0
2025-05-16 00:30:00+08:00,42168.3203125,42278.19140625,42146.48046875,42244.37109375,67804255.0
2025-05-16 01:30:00+08:00,42245.578125,42246.0703125,42172.69921875,42231.80078125,59345349.0
2025-05-16 02:30:00+08:00,42233.19921875,42324.69921875,42231.30859375,42284.140625,66019823.0
2025-05-16 03:30:00+08:00,42283.69921875,42351.421875,42271.25,42329.96875,70380264.0
2025-05-16 21:30:00+08:00,42356.19921875,42392.66015625,42232.55859375,42363.75,0.0
2025-05-16 22:30:00+08:00,42363.6015625,42374.48046875,42267.0703125,42347.19921875,82200603.0
2025-05-16 23:30:00+08:00,42345.46875,42445.640625,42316.25,42433.2109375,52938800.0
2025-05-17 00:30:00+08:00,42434.03125,42575.8984375,42433.609375,42543.078125,59216459.0
2025-05-17 01:30:00+08:00,42542.91015625,42598.1796875,42521.5703125,42591.94921875,56705588.0
2025-05-17 02:30:00+08:00,42591.44140625,42663.6796875,42586.62890625,42630.5703125,52874131.0
2025-05-17 03:30:00+08:00,42629.83984375,42657.30078125,42586.26171875,42654.1015625,59751053.0
2025-05-19 21:30:00+08:00,42359.58984375,42667.87890625,42337.7109375,42603.76171875,0.0
2025-05-19 22:30:00+08:00,42605.05078125,42652.53125,42520.46875,42557.69921875,68659511.0
2025-05-19 23:30:00+08:00,42557.80078125,42737.390625,42555.6796875,42734.140625,49736017.0
2025-05-20 00:30:00+08:00,42733.78125,42842.0390625,42711.80078125,42811.16015625,46802099.0
2025-05-20 01:30:00+08:00,42810.7109375,42831.78125,42686.921875,42721.55859375,41636891.0
2025-05-20 02:30:00+08:00,42721.421875,42771.16015625,42687.3203125,42708.94921875,40563977.0
2025-05-20 03:30:00+08:00,42708.05078125,42801.921875,42708.05078125,42793.671875,49590366.0
2025-05-20 21:30:00+08:00,42735.109375,42800.0390625,42646.890625,42696.23828125,0.0
2025-05-20 22:30:00+08:00,42696.37109375,42760.12109375,42638.5390625,42726.078125,55677389.0
2025-05-20 23:30:00+08:00,42725.55078125,42736.26171875,42619.9296875,42649.671875,44238267.0
2025-05-21 00:30:00+08:00,42648.5,42711.1484375,42634.69140625,42694.26171875,35610321.0
2025-05-21 01:30:00+08:00,42694.5390625,42711.08984375,42524.98046875,42534.0703125,40123684.0
2025-05-21 02:30:00+08:00,42532.5703125,42602.6484375,42485.37109375,42587.05859375,45088163.0
2025-05-21 03:30:00+08:00,42587.19140625,42688.55078125,42585.94921875,42679.421875,47127566.0
2025-05-21 21:30:00+08:00,42354.4609375,42439.26953125,42287.6484375,42310.390625,0.0
