Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-12,949.9689750073472,957.9351718627548,947.9774257934952,952.956298828125,23402547,0.0,0.0
2025-05-13,985.8169073807566,985.8169073807566,964.9056396484376,964.9056396484376,38047856,0.0,0.0
2025-05-14,985.8168978304476,994.7788696289062,983.8253485419012,994.7788696289062,40475123,0.0,0.0
2025-05-15,995.7746215697382,995.7746215697382,988.80419921875,988.80419921875,24662270,0.0,0.0
2025-05-16,986.8126586424802,993.7830810546876,984.8211093818496,993.7830810546876,16878650,0.0,0.0
2025-05-19,988.8041956831768,989.799970301186,975.8591256490568,979.8422241210938,19906139,0.0,0.0
2025-05-20,986.8126852897534,989.8000092613672,973.8676147460938,973.8676147460938,20897857,0.0,0.0
2025-05-21,981.8337959674874,994.778866299716,978.8464720446656,985.81689453125,26248757,0.0,0.0
2025-05-22,983.8253559182472,983.8253559182472,974.8633840525952,977.8507080078124,18747545,0.0,0.0
2025-05-23,988.8041956831768,988.8041956831768,970.8802525590106,979.8422241210938,22213030,0.0,0.0
2025-05-26,970.88026296897,979.8422346271452,970.88026296897,971.8760375976562,19329052,0.0,0.0
2025-05-27,966.897132928878,970.8802313137548,956.9393869666856,960.9224853515624,26355315,0.0,0.0
2025-05-28,979.8422311271976,980.8380057523268,962.9140625,962.9140625,26471533,0.0,0.0
2025-05-29,981.833780377456,981.833780377456,962.9140625,962.9140625,48602590,0.0,0.0
2025-06-02,953.9521032740652,956.9394271882846,942.0028076171876,942.0028076171876,33676511,0.0,0.0
2025-06-03,955.9436472039472,960.922520366468,945.9859008789062,945.9859008789062,26020787,0.0,0.0
2025-06-04,969.8845002761996,985.81689453125,965.901401712437,985.81689453125,37233567,0.0,0.0
2025-06-05,995.774630315318,995.774630315318,986.8126586424802,993.7830810546876,24414444,0.0,0.0
2025-06-06,992.787325666418,992.787325666418,986.8126777687264,990.7957763671876,13670307,0.0,0.0
2025-06-09,1000.7534790039062,1005.7323520337764,995.774605974036,1000.7534790039062,21674308,0.0,0.0
2025-06-10,1020.6689803566088,1045.5633457311603,1015.6901072816986,1040.58447265625,44877640,0.0,0.0
2025-06-11,1060.5,1065.4788732394366,1050.542253521127,1060.5,37178498,0.0,0.0
2025-06-12,1055.0,1060.0,1045.0,1045.0,25221606,4.50002,0.0
2025-06-13,1040.0,1040.0,1025.0,1030.0,28393455,0.0,0.0
2025-06-16,1030.0,1030.0,1015.0,1025.0,28580673,0.0,0.0
2025-06-17,1040.0,1050.0,1035.0,1045.0,26517379,0.0,0.0
2025-06-18,1040.0,1055.0,1030.0,1055.0,37931721,0.0,0.0
2025-06-19,1045.0,1045.0,1030.0,1035.0,24002557,0.0,0.0
2025-06-20,1030.0,1055.0,1025.0,1055.0,57831332,0.0,0.0
2025-06-23,1025.0,1030.0,1015.0,1020.0,32143872,0.0,0.0
2025-06-24,1045.0,1050.0,1040.0,1050.0,28163537,0.0,0.0
2025-06-25,1060.0,1070.0,1055.0,1070.0,38783736,0.0,0.0
2025-06-26,1075.0,1080.0,1065.0,1075.0,36056692,0.0,0.0
2025-06-27,1070.0,1080.0,1060.0,1080.0,32549027,0.0,0.0
2025-06-30,1075.0,1080.0,1060.0,1060.0,32413717,0.0,0.0
2025-07-01,1080.0,1095.0,1075.0,1085.0,44299887,0.0,0.0
2025-07-02,1075.0,1085.0,1070.0,1085.0,23822731,0.0,0.0
2025-07-03,1105.0,1105.0,1090.0,1090.0,36973556,0.0,0.0
2025-07-04,1095.0,1100.0,1080.0,1085.0,20363322,0.0,0.0
2025-07-07,1080.0,1085.0,1070.0,1080.0,18829372,0.0,0.0
2025-07-08,1070.0,1080.0,1065.0,1080.0,27461252,0.0,0.0
2025-07-09,1070.0,1090.0,1065.0,1090.0,23618216,0.0,0.0
2025-07-10,1095.0,1100.0,1090.0,1100.0,22350503,0.0,0.0
2025-07-11,1095.0,1100.0,1090.0,1100.0,28249780,0.0,0.0
2025-07-14,1100.0,1100.0,1085.0,1095.0,25760632,0.0,0.0
2025-07-15,1095.0,1115.0,1090.0,1110.0,45416390,0.0,0.0
2025-07-16,1120.0,1130.0,1120.0,1130.0,31013743,0.0,0.0
2025-07-17,1130.0,1135.0,1115.0,1130.0,30648595,0.0,0.0
2025-07-18,1155.0,1160.0,1145.0,1155.0,46645034,0.0,0.0
2025-07-21,1145.0,1150.0,1135.0,1150.0,26749324,0.0,0.0
2025-07-22,1145.0,1160.0,1130.0,1130.0,50457506,0.0,0.0
2025-07-23,1140.0,1145.0,1135.0,1145.0,29747757,0.0,0.0
2025-07-24,1150.0,1155.0,1145.0,1145.0,15055463,0.0,0.0
2025-07-25,1150.0,1155.0,1140.0,1145.0,22476546,0.0,0.0
2025-07-28,1155.0,1160.0,1145.0,1145.0,20606376,0.0,0.0
2025-07-29,1145.0,1145.0,1125.0,1135.0,31763255,0.0,0.0
2025-07-30,1150.0,1160.0,1145.0,1155.0,34182363,0.0,0.0
2025-07-31,1160.0,1165.0,1155.0,1160.0,33230751,0.0,0.0
2025-08-04,1130.0,1135.0,1125.0,1135.0,23939021,0.0,0.0
2025-08-05,1145.0,1150.0,1140.0,1150.0,17012960,0.0,0.0
2025-08-06,1130.0,1135.0,1125.0,1125.0,22023406,0.0,0.0
2025-08-07,1160.0,1180.0,1155.0,1180.0,61370031,0.0,0.0
2025-08-08,1180.0,1185.0,1170.0,1175.0,25958258,0.0,0.0
2025-08-11,1170.0,1195.0,1165.0,1180.0,36979342,0.0,0.0
