Date,Open,High,Low,Close,Adj Close,Volume,Symbol
,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,
2024-08-02,16780.44921875,16920.630859375,16582.7890625,16776.16015625,16776.16015625,6313870000,^IXIC
2024-08-05,15712.5302734375,16453.4609375,15708.5400390625,16200.080078125,16200.080078125,6852190000,^IXIC
2024-08-06,16261.3603515625,16620.310546875,16137.650390625,16366.849609375,16366.849609375,5908930000,^IXIC
2024-08-07,16622.310546875,16709.810546875,16179.5302734375,16195.8095703125,16195.8095703125,5913620000,^IXIC
2024-08-08,16408.26953125,16694.25,16262.9296875,16660.01953125,16660.01953125,5815880000,^IXIC
2024-08-09,16636.51953125,16789.220703125,16574.5703125,16745.30078125,16745.30078125,5783410000,^IXIC
2024-08-12,16793.640625,16895.7890625,16699.390625,16780.609375,16780.609375,4890850000,^IXIC
2024-08-13,16944.740234375,17192.7890625,16943.94921875,17187.609375,17187.609375,5469160000,^IXIC
2024-08-14,17227.640625,17260.73046875,17032.169921875,17192.599609375,17192.599609375,4985480000,^IXIC
2024-08-15,17394.5390625,17602.720703125,17375.41015625,17594.5,17594.5,5478170000,^IXIC
2024-08-16,17516.400390625,17674.650390625,17502.830078125,17631.720703125,17631.720703125,5138150000,^IXIC
2024-08-19,17649.740234375,17877.439453125,17585.580078125,17876.76953125,17876.76953125,5564300000,^IXIC
2024-08-20,17849.08984375,17932.529296875,17758.19921875,17816.939453125,17816.939453125,5305260000,^IXIC
2024-08-21,17840.509765625,17963.0703125,17790.98046875,17918.990234375,17918.990234375,4765150000,^IXIC
2024-08-22,17993.720703125,18017.689453125,17589.150390625,17619.349609375,17619.349609375,5065360000,^IXIC
2024-08-23,17772.73046875,17941.26953125,17700.26953125,17877.7890625,17877.7890625,5380810000,^IXIC
2024-08-26,17867.849609375,17909.08984375,17645.689453125,17725.76953125,17725.76953125,5110940000,^IXIC
2024-08-27,17655.51953125,17789.720703125,17573.369140625,17754.8203125,17754.8203125,4362380000,^IXIC
2024-08-28,17738.80078125,17759.939453125,17439.400390625,17556.029296875,17556.029296875,5211920000,^IXIC
2024-08-29,17610.5703125,17789.2109375,17482.599609375,17516.4296875,17516.4296875,5727780000,^IXIC
2024-08-30,17650.490234375,17720.380859375,17498.7890625,17713.619140625,17713.619140625,5531150000,^IXIC
2024-09-03,17585.44921875,17585.44921875,17057.7890625,17136.30078125,17136.30078125,5813970000,^IXIC
2024-09-04,17015.7109375,17232.650390625,16984.669921875,17084.30078125,17084.30078125,5011820000,^IXIC
2024-09-05,17063.240234375,17295.580078125,17035.0703125,17127.66015625,17127.66015625,4983030000,^IXIC
2024-09-06,17137.619140625,17166.5390625,16668.5703125,16690.830078125,16690.830078125,5549030000,^IXIC
2024-09-09,16835.669921875,16923.279296875,16732.83984375,16884.599609375,16884.599609375,5132150000,^IXIC
2024-09-10,16949.640625,17036.0703125,16801.130859375,17025.880859375,17025.880859375,4963740000,^IXIC
2024-09-11,17061.41015625,17420.23046875,16787.83984375,17395.529296875,17395.529296875,6086930000,^IXIC
2024-09-12,17413.890625,17605.720703125,17338.3203125,17569.6796875,17569.6796875,4983120000,^IXIC
2024-09-13,17575.259765625,17719.140625,17564.609375,17683.98046875,17683.98046875,4802880000,^IXIC
2024-09-16,17573.69921875,17618.400390625,17480.66015625,17592.130859375,17592.130859375,4675530000,^IXIC
2024-09-17,17707.01953125,17781.740234375,17544.640625,17628.060546875,17628.060546875,4959520000,^IXIC
2024-09-18,17663.380859375,17832.69921875,17556.4296875,17573.30078125,17573.30078125,5611630000,^IXIC
2024-09-19,17980.890625,18099.9296875,17909.75,18013.98046875,18013.98046875,5574650000,^IXIC
2024-09-20,17999.349609375,18024.33984375,17835.640625,17948.3203125,17948.3203125,9914480000,^IXIC
2024-09-23,17994.91015625,18021.580078125,17936.369140625,17974.26953125,17974.26953125,5237310000,^IXIC
2024-09-24,18046.439453125,18091.9609375,17863.380859375,18074.51953125,18074.51953125,5347580000,^IXIC
2024-09-25,18050.359375,18155.0390625,18040.619140625,18082.2109375,18082.2109375,4858060000,^IXIC
2024-09-26,18327.33984375,18327.33984375,18071.740234375,18190.2890625,18190.2890625,5669210000,^IXIC
2024-09-27,18228.779296875,18238.279296875,18069.1796875,18119.58984375,18119.58984375,5367890000,^IXIC
2024-09-30,18069.830078125,18198.16015625,17997.560546875,18189.169921875,18189.169921875,5846150000,^IXIC
2024-10-01,18154.939453125,18162.720703125,17779.76953125,17910.359375,17910.359375,5879980000,^IXIC
2024-10-02,17867.119140625,17978.580078125,17767.7890625,17925.119140625,17925.119140625,5489040000,^IXIC
2024-10-03,17859.490234375,18011.25,17826.419921875,17918.48046875,17918.48046875,5208990000,^IXIC
2024-10-04,18130.419921875,18145.279296875,17952.30078125,18137.849609375,18137.849609375,5136070000,^IXIC
2024-10-07,18080.119140625,18096.330078125,17900.0390625,17923.900390625,17923.900390625,5240320000,^IXIC
2024-10-08,18017.9296875,18203.0390625,17989.69921875,18182.919921875,18182.919921875,5566510000,^IXIC
2024-10-09,18179.220703125,18302.05078125,18133.01953125,18291.619140625,18291.619140625,5228670000,^IXIC
2024-10-10,18200.619140625,18333.390625,18154.1796875,18282.05078125,18282.05078125,5855390000,^IXIC
2024-10-11,18217.73046875,18375.529296875,18208.439453125,18342.939453125,18342.939453125,5140440000,^IXIC
2024-10-14,18426.66015625,18547.919921875,18423.599609375,18502.689453125,18502.689453125,4894710000,^IXIC
2024-10-15,18515.970703125,18564.25,18252.51953125,18315.58984375,18315.58984375,6522700000,^IXIC
2024-10-16,18333.2890625,18383.109375,18214.9609375,18367.080078125,18367.080078125,5257570000,^IXIC
2024-10-17,18537.2109375,18541.4609375,18368.7890625,18373.609375,18373.609375,5806860000,^IXIC
2024-10-18,18466.009765625,18524.330078125,18452.580078125,18489.55078125,18489.55078125,5090190000,^IXIC
2024-10-21,18456.48046875,18543.580078125,18377.630859375,18540.009765625,18540.009765625,6092180000,^IXIC
2024-10-22,18451.859375,18620.7109375,18413.470703125,18579.76953125,18579.76953125,6407180000,^IXIC
2024-10-23,18502.060546875,18509.189453125,18146.609375,18276.650390625,18276.650390625,6245610000,^IXIC
2024-10-24,18384.16015625,18435.369140625,18305.419921875,18415.490234375,18415.490234375,5761280000,^IXIC
2024-10-25,18512.580078125,18690.009765625,18487.060546875,18518.609375,18518.609375,6100040000,^IXIC
2024-10-28,18648.25,18671.009765625,18563.01953125,18567.189453125,18567.189453125,5641660000,^IXIC
2024-10-29,18576.08984375,18753.189453125,18509.58984375,18712.75,18712.75,6881170000,^IXIC
2024-10-30,18731.689453125,18785.5,18598.240234375,18607.9296875,18607.9296875,6514690000,^IXIC
2024-10-31,18427.310546875,18427.310546875,18083.94921875,18095.150390625,18095.150390625,6411940000,^IXIC
2024-11-01,18189.669921875,18363.939453125,18181.529296875,18239.919921875,18239.919921875,5896470000,^IXIC
2024-11-04,18220.4296875,18308.30078125,18112.830078125,18179.98046875,18179.98046875,5762320000,^IXIC
2024-11-05,18250.7109375,18449.6796875,18250.7109375,18439.169921875,18439.169921875,7060340000,^IXIC
2024-11-06,18772.759765625,19000.5,18730.2109375,18983.470703125,18983.470703125,8138050000,^IXIC
2024-11-07,19084.4296875,19301.69921875,19084.4296875,19269.4609375,19269.4609375,9232670000,^IXIC
2024-11-08,19255.140625,19318.560546875,19224.4296875,19286.779296875,19286.779296875,7316010000,^IXIC
2024-11-11,19355.33984375,19366.0703125,19193.2890625,19298.759765625,19298.759765625,8087930000,^IXIC
2024-11-12,19289.810546875,19343.05078125,19168.51953125,19281.400390625,19281.400390625,7816410000,^IXIC
2024-11-13,19286.4609375,19358.48046875,19191.130859375,19230.720703125,19230.720703125,9623670000,^IXIC
2024-11-14,19256.08984375,19275.80078125,19073.390625,19107.650390625,19107.650390625,8680480000,^IXIC
2024-11-15,18929.919921875,18936.75,18598.869140625,18680.119140625,18680.119140625,8002270000,^IXIC
2024-11-18,18717.9296875,18865.279296875,18672.30078125,18791.810546875,18791.810546875,8455360000,^IXIC
2024-11-19,18699.7109375,18992.080078125,18689.830078125,18987.470703125,18987.470703125,7246610000,^IXIC
2024-11-20,18971.310546875,18974.91015625,18724.390625,18966.140625,18966.140625,7121670000,^IXIC
2024-11-21,19072.779296875,19110.890625,18714.060546875,18972.419921875,18972.419921875,7492540000,^IXIC
2024-11-22,18966.3203125,19025.76953125,18899.48046875,19003.650390625,19003.650390625,6575820000,^IXIC
2024-11-25,19140.58984375,19208.6796875,18969.349609375,19054.83984375,19054.83984375,7932980000,^IXIC
2024-11-26,19109.080078125,19184.400390625,19100.73046875,19174.30078125,19174.30078125,6411770000,^IXIC
2024-11-27,19132.990234375,19133.109375,18937.19921875,19060.48046875,19060.48046875,5619090000,^IXIC
2024-11-29,19087.470703125,19245.490234375,19066.51953125,19218.169921875,19218.169921875,4042550000,^IXIC
2024-12-02,19255.4296875,19436.919921875,19255.4296875,19403.94921875,19403.94921875,6370530000,^IXIC
2024-12-03,19364.33984375,19486.150390625,19340.41015625,19480.91015625,19480.91015625,6005160000,^IXIC
