date,symbol,open,high,low,close,change,volume
2024-11-27,BTC-USD,91978.140625,97361.1796875,91778.6640625,95962.53125,4.323745271515378,71133452438
2024-11-28,BTC-USD,95954.9453125,96650.203125,94677.3515625,95652.46875,-0.32310787967048116,52260008261
2024-11-29,BTC-USD,95653.953125,98693.171875,95407.8828125,97461.5234375,1.8912786163713058,54968682476
2024-11-30,BTC-USD,97468.8125,97499.34375,96144.21875,96449.0546875,-1.0388394458550332,31634227866
2024-12-01,BTC-USD,96461.3359375,97888.125,95770.1875,97279.7890625,0.8613193542348574,36590695296
2024-12-02,BTC-USD,97276.0078125,98152.6015625,94482.8671875,95865.3046875,-1.454037255458307,72680784305
2024-12-03,BTC-USD,95854.59375,96297.203125,93629.5625,96002.1640625,0.1427621551364444,67067810961
2024-12-04,BTC-USD,95988.53125,99207.328125,94660.5234375,98768.53125,2.881567529768403,77199817112
2024-12-05,BTC-USD,98741.5390625,103900.46875,91998.78125,96593.5703125,-2.2020788503929523,149218945580
2024-12-06,BTC-USD,97074.2265625,102039.8828125,96514.875,99920.7109375,3.444474217316973,94534772658
2024-12-07,BTC-USD,99916.7109375,100563.3828125,99030.8828125,99923.3359375,0.002627082989481444,44177510897
2024-12-08,BTC-USD,99921.9140625,101399.9921875,98771.515625,101236.015625,1.3136868131795154,44125751925
2024-12-09,BTC-USD,101237.0625,101272.5078125,94355.9140625,97432.71875,-3.7568614800964073,110676473908
2024-12-10,BTC-USD,97441.234375,98270.15625,94321.2578125,96675.4296875,-0.7772430783165474,104823780634
2024-12-11,BTC-USD,96656.0625,101913.359375,95747.2265625,101173.03125,4.652269534294651,85391409936
2024-12-12,BTC-USD,101167.8046875,102524.9140625,99339.953125,100043.0,-1.1169293200355757,72073983533
2024-12-13,BTC-USD,100046.6484375,101888.8046875,99233.28125,101459.2578125,1.4156490833941326,56894751583
2024-12-14,BTC-USD,101451.4375,102618.8828125,100634.0546875,101372.96875,-0.08504799301751742,40422968793
2024-12-15,BTC-USD,101373.53125,105047.5390625,101227.03125,104298.6953125,2.886101293644905,51145914137
2024-12-16,BTC-USD,104293.578125,107780.578125,103322.984375,106029.71875,1.6596788984881483,91020417816
2024-12-17,BTC-USD,106030.6875,108268.4453125,105291.734375,106140.6015625,0.1045771070669721,68589364868
2024-12-18,BTC-USD,106147.296875,106470.609375,100041.5390625,100041.5390625,-5.746210601989676,93865656139
2024-12-19,BTC-USD,100070.6875,102748.1484375,95587.6796875,97490.953125,-2.5495268879325628,97221662392
2024-12-20,BTC-USD,97484.6953125,98098.9140625,92175.1796875,97755.9296875,0.2717960528709318,105634083408
2024-12-21,BTC-USD,97756.1953125,99507.1015625,96426.5234375,97224.7265625,-0.5433973434635808,51765334294
2024-12-22,BTC-USD,97218.3203125,97360.265625,94202.1875,95104.9375,-2.1802983021374844,43147981314
2024-12-23,BTC-USD,95099.390625,96416.2109375,92403.1328125,94686.2421875,-0.4402456102765462,65239002919
2024-12-24,BTC-USD,94684.34375,99404.0625,93448.015625,98676.09375,4.213760595334648,47114953674
2024-12-25,BTC-USD,98675.9140625,99478.75,97593.46875,99299.1953125,0.6314615210434305,33700394629
2024-12-26,BTC-USD,99297.6953125,99884.5703125,95137.8828125,95795.515625,-3.528406928650052,47054980873
2024-12-27,BTC-USD,95704.9765625,97294.84375,93310.7421875,94164.859375,-1.7022260795415023,52419934565
2024-12-28,BTC-USD,94160.1875,95525.8984375,94014.2890625,95163.9296875,1.0609799867287384,24107436185
2024-12-29,BTC-USD,95174.0546875,95174.875,92881.7890625,93530.2265625,-1.7167251608511402,29635885267
2024-12-30,BTC-USD,93527.1953125,94903.3203125,91317.1328125,92643.2109375,-0.948373223930199,56188003691
2024-12-31,BTC-USD,92643.25,96090.6015625,91914.03125,93429.203125,0.8484077565384274,43625106843
2025-01-01,BTC-USD,93425.1015625,94929.8671875,92788.125,94419.7578125,1.060219561302178,24519888919
2025-01-02,BTC-USD,94416.2890625,97739.8203125,94201.5703125,96886.875,2.6129247147606893,46009564411
2025-01-03,BTC-USD,96881.7265625,98956.9140625,96034.6171875,98107.4296875,1.2597729955682757,35611391163
2025-01-04,BTC-USD,98106.9921875,98734.4296875,97562.9765625,98236.2265625,0.13128146911018934,22342608078
2025-01-05,BTC-USD,98233.90625,98813.3046875,97291.765625,98314.9609375,0.0801480042089242,20525254825
2025-01-06,BTC-USD,98314.953125,102482.875,97926.1484375,102078.0859375,3.8276219245942267,51823432705
2025-01-07,BTC-USD,102248.8515625,102712.484375,96132.875,96922.703125,-5.050430525956884,58685738547
2025-01-08,BTC-USD,96924.1640625,97258.3203125,92525.84375,95043.5234375,-1.9388436629511285,63875859171
2025-01-09,BTC-USD,95043.484375,95349.71875,91220.84375,92484.0390625,-2.6929603222076492,62777261693
2025-01-10,BTC-USD,92494.4921875,95770.609375,92250.09375,94701.453125,2.3976181025154863,62058693684
2025-01-11,BTC-USD,94700.8359375,94977.6875,93840.046875,94566.59375,-0.1424047578467369,18860894100
2025-01-12,BTC-USD,94565.7265625,95367.5390625,93712.5078125,94488.4375,-0.08264678561502592,20885130965
2025-01-13,BTC-USD,94488.890625,95837.0,89260.1015625,94516.5234375,0.029724205673309356,72978998252
