date,open,high,low,close,volume
2023-09-25 00:00:00+08:00,16345.7802734375,16498.380859375,16345.7802734375,16452.23046875,2049400
2023-09-26 00:00:00+08:00,16440.259765625,16440.259765625,16276.0703125,16276.0703125,2412200
2023-09-27 00:00:00+08:00,16273.83984375,16324.2197265625,16212.8603515625,16310.3603515625,2187900
2023-09-28 00:00:00+08:00,16330.7099609375,16411.279296875,16311.41015625,16353.740234375,2477900
2023-10-02 00:00:00+08:00,16382.9599609375,16575.310546875,16382.9599609375,16557.310546875,2669600
2023-10-03 00:00:00+08:00,16520.240234375,16571.66015625,16453.80078125,16454.33984375,2697100
2023-10-04 00:00:00+08:00,16419.48046875,16419.48046875,16203.33984375,16273.3798828125,2624800
2023-10-05 00:00:00+08:00,16313.8896484375,16477.609375,16313.8896484375,16453.51953125,2503200
2023-10-06 00:00:00+08:00,16482.9296875,16539.130859375,16482.9296875,16520.5703125,2296800
2023-10-11 00:00:00+08:00,16567.4296875,16729.5,16567.4296875,16672.029296875,3635100
2023-10-12 00:00:00+08:00,16698.849609375,16825.91015625,16684.4296875,16825.91015625,2917100
2023-10-13 00:00:00+08:00,16815.91015625,16815.91015625,16726.4296875,16782.5703125,2955800
2023-10-16 00:00:00+08:00,16712.9296875,16712.9296875,16614.099609375,16652.240234375,2843500
2023-10-17 00:00:00+08:00,16678.279296875,16770.640625,16618.30078125,16642.55078125,2965400
2023-10-18 00:00:00+08:00,16608.01953125,16612.25,16398.759765625,16440.91015625,3844900
2023-10-19 00:00:00+08:00,16416.5390625,16479.349609375,16382.400390625,16452.73046875,2608200
2023-10-20 00:00:00+08:00,16434.4296875,16462.560546875,16271.8203125,16440.720703125,3035200
2023-10-23 00:00:00+08:00,16391.41015625,16391.41015625,16245.83984375,16251.3603515625,2273100
2023-10-24 00:00:00+08:00,16257.7998046875,16318.76953125,16163.0,16309.759765625,2642000
2023-10-25 00:00:00+08:00,16320.7099609375,16459.33984375,16320.7099609375,16358.8896484375,2667800
2023-10-26 00:00:00+08:00,16305.16015625,16305.16015625,16073.740234375,16073.740234375,2572100
2023-10-27 00:00:00+08:00,16112.75,16200.2998046875,16112.75,16134.6103515625,2142800
2023-10-30 00:00:00+08:00,16142.0595703125,16203.330078125,16101.240234375,16149.6796875,2250800
2023-10-31 00:00:00+08:00,16176.580078125,16215.349609375,15975.91015625,16001.26953125,2703600
2023-11-01 00:00:00+08:00,16027.7197265625,16099.0302734375,15978.259765625,16038.5595703125,2183800
2023-11-02 00:00:00+08:00,16094.259765625,16396.94921875,16094.259765625,16396.94921875,2464200
2023-11-03 00:00:00+08:00,16412.5390625,16520.099609375,16412.5390625,16507.650390625,2809400
2023-11-06 00:00:00+08:00,16572.560546875,16720.560546875,16572.560546875,16649.359375,2709700
2023-11-07 00:00:00+08:00,16650.140625,16684.94921875,16608.099609375,16684.94921875,2180100
2023-11-08 00:00:00+08:00,16691.3203125,16775.23046875,16665.400390625,16740.830078125,2664300
2023-11-09 00:00:00+08:00,16741.16015625,16759.4296875,16680.91015625,16745.650390625,2433800
2023-11-10 00:00:00+08:00,16725.939453125,16725.939453125,16651.23046875,16682.669921875,2157500
2023-11-13 00:00:00+08:00,16711.529296875,16961.01953125,16711.529296875,16839.2890625,2512400
2023-11-14 00:00:00+08:00,16884.51953125,16946.380859375,16884.51953125,16915.7109375,2619800
2023-11-15 00:00:00+08:00,17039.619140625,17143.880859375,17034.94921875,17128.779296875,3950300
2023-11-16 00:00:00+08:00,17136.51953125,17194.3203125,17089.400390625,17171.1796875,3308400
2023-11-17 00:00:00+08:00,17155.859375,17253.470703125,17147.560546875,17208.94921875,3186300
2023-11-20 00:00:00+08:00,17197.8203125,17219.759765625,17151.8203125,17210.470703125,3044800
2023-11-21 00:00:00+08:00,17239.939453125,17421.169921875,17239.939453125,17416.69921875,3727100
2023-11-22 00:00:00+08:00,17325.599609375,17344.529296875,17264.94921875,17310.259765625,3167500
2023-11-23 00:00:00+08:00,17291.330078125,17343.609375,17228.44921875,17294.55078125,3179200
2023-11-24 00:00:00+08:00,17304.650390625,17336.130859375,17268.380859375,17287.419921875,3037300
2023-11-27 00:00:00+08:00,17291.23046875,17351.9296875,17133.759765625,17137.419921875,3164500
2023-11-28 00:00:00+08:00,17150.30078125,17360.380859375,17145.19921875,17341.25,3435400
2023-11-29 00:00:00+08:00,17352.109375,17441.7890625,17323.26953125,17370.560546875,3414100
2023-11-30 00:00:00+08:00,17389.19921875,17433.849609375,17313.30078125,17433.849609375,4478400
2023-12-01 00:00:00+08:00,17422.349609375,17450.130859375,17355.890625,17438.349609375,3399000
