date,symbol,open,high,low,close,change,volume
2025-05-07,JPM,246.33789409154292,248.90133717219618,245.33222789860994,245.8843536376953,0.05617429865949486,8724100
2025-05-08,JPM,248.03371181647788,252.283124152028,248.01398874215974,249.90699768066406,1.635990246413166,8320100
2025-05-09,JPM,250.92252890731987,251.91832606188873,248.7928881161782,249.52249145507812,-0.15385972748040988,5087600
2025-05-12,JPM,259.2044446904927,259.8946169218072,255.0635015683959,256.3945007324219,2.7540640674393657,9603900
2025-05-13,JPM,257.3607186160682,259.9636227659981,256.7297306967061,259.3128967285156,1.1382443803424014,8589000
2025-05-14,JPM,259.30304054504273,262.8918879441619,258.60302935469,261.90594482421875,0.9999688131276718,8643100
2025-05-15,JPM,263.2172398355203,265.7313827931952,261.03831393296224,263.72991943359375,0.6964235235665139,9214600
2025-05-16,JPM,263.7397655019056,264.6862624037603,260.9889759714906,263.7989196777344,0.026163221938868553,8932900
2025-05-19,JPM,261.817181246086,264.5482629218792,258.2480719963219,261.1566162109375,-1.0016354388504678,12145000
2025-05-20,JPM,258.8297593604445,262.9115780411088,258.6128506853088,261.9453430175781,0.3020129522598669,8436300
2025-05-21,JPM,260.6340439477094,261.91575784118834,257.06493502136397,257.3705749511719,-1.7464590183988271,7464000
2025-05-22,JPM,255.79307750804895,258.6128603010642,255.2310827258566,257.00579833984375,-0.141732057519528,6514100
2025-05-23,JPM,253.20005483078515,258.30723306371834,252.40144329619352,257.04522705078125,0.015341564739856928,6671800
2025-05-27,JPM,258.35653699260183,261.5706910214846,258.30722178470336,261.56085205078125,1.756743376179437,7506600
2025-05-28,JPM,262.49747628554394,262.9707397963694,259.20443000527837,259.7861328125,-0.6785110326589239,5535400
2025-05-29,JPM,261.0777263969251,261.6791673467857,258.83964634422205,260.6537780761719,0.3339844410779502,5081200
2025-05-30,JPM,259.74671429323007,261.600261993738,259.0368340780119,260.2889709472656,-0.13995850418850875,10977700
2025-06-02,JPM,259.3227361836595,261.3044913883967,258.21848475626587,260.939697265625,0.25000149487364176,6011200
2025-06-03,JPM,260.02276495317653,262.83267850504353,259.184707363763,262.52703857421875,0.6083172952323634,6998400
2025-06-04,JPM,262.182005216077,263.3651188956681,260.4664437433463,260.5058898925781,-0.7698821015227453,5915700
2025-06-05,JPM,261.0185820125706,261.0185820125706,256.6508610440278,258.267822265625,-0.8591236182322048,8173800
2025-06-06,JPM,260.61431507286125,262.90171018684686,260.5453219261883,261.9946594238281,1.443012577219216,7738100
2025-06-09,JPM,262.26085974590114,264.13414558351,259.6481165969787,262.9904479980469,0.3800797223915353,8285000
2025-06-10,JPM,262.1425742010461,265.12011173513696,262.1129971095637,264.8243408203125,0.6973229774030587,7538100
2025-06-11,JPM,264.9031944101953,265.8299833646017,262.05383439482847,264.3806457519531,-0.16754315973561695,7434100
2025-06-12,JPM,263.108754096244,264.51867555838396,261.41296089523235,264.4693603515625,0.03355563315046162,6618000
2025-06-13,JPM,261.3537637738832,263.2664956490745,259.0170836192922,261.2256164550781,-1.2265102816342965,7098300
2025-06-16,JPM,263.2467856983216,267.91030700344754,263.0989002634007,266.5595397949219,2.0418837219055908,8566000
2025-06-17,JPM,264.4003547444176,266.78632001973784,264.0355305500715,265.7313537597656,-0.31069457720155347,6739300
2025-06-18,JPM,266.2046518031783,273.8161341619834,265.92858892337074,270.1089782714844,1.6473872765787156,9586400
2025-06-20,JPM,271.6963331378996,273.40199535536493,269.96106374392457,271.13433837890625,0.37960978342277407,13969700
2025-06-23,JPM,271.19352924792304,274.63446132493044,268.2849848254327,274.3583984375,1.18910060520927,8094600
2025-06-24,JPM,276.2711076585184,278.7359654088068,275.580965541595,277.3063659667969,1.0744950933107456,9267900
2025-06-25,JPM,277.5429742316298,280.283894762949,276.96127143090536,280.0669860839844,0.9955127094046112,6826900
2025-06-26,JPM,280.69798294148404,285.34176602692577,280.47120522055536,284.6910400390625,1.6510528497962529,8942100
2025-06-27,JPM,281.79238274090324,284.6417726184297,281.0332174188349,283.0740966796875,-0.5679642601864598,17868600
2025-06-30,JPM,286.31784977059453,288.5362215871362,284.8586733435247,285.8347473144531,0.9752395811367442,12689200
2025-07-01,JPM,286.80096120516055,287.03757788649216,282.56138843689246,286.32769775390625,0.17245994200656423,9338300
2025-07-02,JPM,287.93486241282807,288.703896910252,285.62775892055635,287.8954162597656,0.547525970472762,8158700
2025-07-03,JPM,289.43094323142554,293.6413883261785,288.4996894270786,293.2451171875,1.8582098309295025,6541600
2025-07-07,JPM,292.50209620860613,293.28475211178096,287.38020030669605,289.25262451171875,-1.36148649773713,8825700
2025-07-08,JPM,286.5777506799395,287.0037716436535,277.7011499441943,280.1481628417969,-3.14758135221449,15440900
2025-07-09,JPM,284.5072025788075,284.5270357878685,279.8509637155815,280.5246276855469,0.13438062200057388,11273800
2025-07-10,JPM,280.3661434799506,285.6267213505897,280.3661434799506,285.5078430175781,1.7763913896419625,8410900
2025-07-11,JPM,282.86263015148194,284.70533469446724,281.0100392381615,284.1901550292969,-0.4615242700005684,7384700
2025-07-14,JPM,284.39825755240173,286.60748367671823,282.6051055730771,286.0130920410156,0.6414497404144237,9079900
2025-07-15,JPM,285.3196042033426,289.23285392385833,282.82306855064246,283.8830871582031,-0.7447228613251866,12526100
